event_id,organizer_id,event_create_date,event_publish_date,event_start_date,event_currency,is_listed,event_paid_type,event_capacity,event_category,event_country
2020110,9092720,2009-08-10,2016-07-12,2016-07-16,USD,public,free event,50.0,Business & Professional,NG
2532090,14360170,2009-12-06,2015-01-31,2015-03-12,USD,public,paid event,220.0,Auto & Boat & Air,CN
2761625,16167660,2010-01-27,2014-04-01,2014-04-17,USD,public,free event,100.0,,IE
2783390,16366115,2010-01-31,2014-10-15,2014-11-24,USD,private,free event,20.0,,CA
4058910,5222370,2010-08-24,2014-09-16,2014-09-20,USD,private,free event,15.0,,US
4476015,33092745,2010-09-23,2014-12-11,2014-12-20,USD,public,free event,35.0,Other,
5913045,10771465,2013-12-06,2015-01-25,2015-01-31,USD,public,free event,1150.0,Charity & Causes,
8022285,15129365,2011-04-24,2014-07-31,2014-08-17,CAD,public,paid event,50.0,Performing & Visual Arts,CA
8087625,71334275,2011-04-27,2016-09-13,2016-10-28,USD,public,paid event,600.0,Family & Education,US
8977125,6805140,2011-06-11,2015-09-12,2015-09-20,USD,public,free event,400.0,Family & Education,US
9968365,41696235,2011-09-22,2016-10-27,2016-10-27,USD,public,free event,12.0,,
10889910,15491310,2011-09-13,2016-03-12,2016-04-09,GBP,public,free event,100.0,,GB
12897490,120399920,2011-11-30,2015-08-16,2015-08-24,CAD,private,paid event,10.0,,CA
13738415,50285445,2012-01-10,2016-01-18,2016-02-27,USD,public,paid event,100.0,Performing & Visual Arts,US
15314115,142202845,2012-03-02,2014-06-17,2014-09-25,USD,public,free event,200.0,Film & Media & Entertainment,US
15384395,136068185,2012-03-04,2014-09-17,2014-09-24,USD,private,free event,50.0,,OM
18105450,17039590,2014-01-24,2014-01-24,2014-03-07,USD,private,paid event,45.0,,US
19076150,58126095,2013-08-15,2014-06-18,2014-06-22,USD,public,free event,60.0,Business & Professional,US
22097210,145175315,2012-09-24,2015-11-09,2016-01-09,CAD,public,paid event,120.0,Charity & Causes,CA
22902830,179150020,2012-10-12,2014-09-11,2014-09-29,CAD,private,free event,100.0,,CA
27693220,263005230,2013-02-17,2015-11-12,2016-01-18,AUD,private,free event,32.0,,AU
28463220,58224845,2013-12-10,2015-09-02,2015-10-12,USD,private,paid event,1.0,,US
29086865,275329825,2013-03-13,2014-01-03,2014-01-30,USD,private,free event,25.0,,US
30606945,285117745,2013-04-04,2014-02-23,2014-03-19,USD,public,paid event,100.0,,US
33284135,23274970,2013-05-13,2014-06-02,2014-07-20,USD,public,free event,500.0,Community & Culture,US
33927605,107766860,2013-05-22,2014-06-17,2014-08-20,CAD,public,free event,75.0,Science & Technology,CA
36973585,82720985,2013-07-25,2014-09-05,2014-10-04,USD,public,free event,100.0,Family & Education,US
37109055,332979445,2013-10-15,2014-09-17,2014-12-13,GBP,public,paid event,200.0,Charity & Causes,GB
38498235,341781635,2013-08-02,2016-03-17,2016-05-11,USD,private,paid event,50.0,,US
39190025,22568555,2013-08-22,2014-02-16,2014-02-19,GBP,public,free event,100.0,,
39537965,348102285,2013-08-18,2015-04-15,2015-08-07,USD,public,paid event,200.0,Other,US
39780455,345690155,2013-08-21,2014-09-19,2014-10-01,USD,public,free event,150.0,Family & Education,US
39851335,163499875,2013-08-22,2014-03-19,2014-05-03,USD,public,paid event,1000.0,Health & Wellness,US
41692115,363343395,2013-09-16,2014-02-27,2014-03-07,USD,private,paid event,20.0,,
41897965,285005805,2014-01-27,2014-01-27,2014-07-10,GBP,private,paid event,1210.0,,GB
42508315,287823055,2014-02-03,2014-02-03,2014-02-23,CAD,public,paid event,100.0,,CA
42936835,340571075,2013-10-02,2014-05-08,2014-08-05,USD,public,free event,262.0,Other,US
43080965,375763265,2013-10-03,2017-01-03,2017-01-24,CAD,private,free event,200.0,,CA
43182445,197063780,2013-10-04,2014-06-27,2015-08-10,USD,public,paid event,8.0,Health & Wellness,US
43420645,175393680,2013-10-08,2014-03-21,2014-06-25,GBP,public,free event,16.0,,GB
43448915,318798935,2013-10-08,2014-03-14,2014-04-10,GBP,public,free event,44.0,Community & Culture,GB
43452185,378528155,2013-10-08,2014-03-13,2014-03-25,USD,public,free event,40.0,Performing & Visual Arts,
44152625,62580185,2013-10-24,2014-02-16,2014-02-21,CAD,private,free event,47.0,,CA
44207935,255978470,2013-10-16,2014-03-12,2014-04-17,USD,public,free event,400.0,,
44841255,288438685,2014-01-23,2016-07-01,2016-08-05,USD,public,free event,6000.0,Performing & Visual Arts,US
45454195,291375735,2013-10-31,2014-02-01,2014-04-08,USD,public,free event,5.0,Charity & Causes,US
45669395,94760995,2013-11-04,2014-02-11,2014-03-06,CAD,public,free event,55.0,,CA
