event_id,organizer_id,event_create_date,event_publish_date,event_start_date,event_currency,is_listed,event_paid_type,event_capacity,event_category,event_country
2020110,9092720,8/10/09,7/12/16,7/16/16,USD,public,free event,50,Business & Professional,NG
2532090,14360170,12/6/09,1/31/15,3/12/15,USD,public,paid event,220,Auto & Boat & Air,CN
2761625,16167660,1/27/10,4/1/14,4/17/14,USD,public,free event,100,NULL,IE
2783390,16366115,1/31/10,10/15/14,11/24/14,USD,private,free event,20,NULL,CA
4058910,5222370,8/24/10,9/16/14,9/20/14,USD,private,free event,15,NULL,US
4476015,33092745,9/23/10,12/11/14,12/20/14,USD,public,free event,35,Other,NULL
5913045,10771465,12/6/13,1/25/15,1/31/15,USD,public,free event,1150,Charity & Causes,NULL
8022285,15129365,4/24/11,7/31/14,8/17/14,CAD,public,paid event,50,Performing & Visual Arts,CA
8087625,71334275,4/27/11,9/13/16,10/28/16,USD,public,paid event,600,Family & Education,US
8977125,6805140,6/11/11,9/12/15,9/20/15,USD,public,free event,400,Family & Education,US
9968365,41696235,9/22/11,10/27/16,10/27/16,USD,public,free event,12,NULL,NULL
10889910,15491310,9/13/11,3/12/16,4/9/16,GBP,public,free event,100,NULL,GB
12897490,120399920,11/30/11,8/16/15,8/24/15,CAD,private,paid event,10,NULL,CA
13738415,50285445,1/10/12,1/18/16,2/27/16,USD,public,paid event,100,Performing & Visual Arts,US
15314115,142202845,3/2/12,6/17/14,9/25/14,USD,public,free event,200,Film & Media & Entertainment,US
15384395,136068185,3/4/12,9/17/14,9/24/14,USD,private,free event,50,NULL,OM
18105450,17039590,1/24/14,1/24/14,3/7/14,USD,private,paid event,45,NULL,US
19076150,58126095,8/15/13,6/18/14,6/22/14,USD,public,free event,60,Business & Professional,US
22097210,145175315,9/24/12,11/9/15,1/9/16,CAD,public,paid event,120,Charity & Causes,CA
22902830,179150020,10/12/12,9/11/14,9/29/14,CAD,private,free event,100,NULL,CA
27693220,263005230,2/17/13,11/12/15,1/18/16,AUD,private,free event,32,NULL,AU
28463220,58224845,12/10/13,9/2/15,10/12/15,USD,private,paid event,1,NULL,US
29086865,275329825,3/13/13,1/3/14,1/30/14,USD,private,free event,25,NULL,US
30606945,285117745,4/4/13,2/23/14,3/19/14,USD,public,paid event,100,NULL,US
33284135,23274970,5/13/13,6/2/14,7/20/14,USD,public,free event,500,Community & Culture,US
33927605,107766860,5/22/13,6/17/14,8/20/14,CAD,public,free event,75,Science & Technology,CA
36973585,82720985,7/25/13,9/5/14,10/4/14,USD,public,free event,100,Family & Education,US
37109055,332979445,10/15/13,9/17/14,12/13/14,GBP,public,paid event,200,Charity & Causes,GB
38498235,341781635,8/2/13,3/17/16,5/11/16,USD,private,paid event,50,NULL,US
39190025,22568555,8/22/13,2/16/14,2/19/14,GBP,public,free event,100,NULL,NULL
39537965,348102285,8/18/13,4/15/15,8/7/15,USD,public,paid event,200,Other,US
39780455,345690155,8/21/13,9/19/14,10/1/14,USD,public,free event,150,Family & Education,US
39851335,163499875,8/22/13,3/19/14,5/3/14,USD,public,paid event,1000,Health & Wellness,US
41692115,363343395,9/16/13,2/27/14,3/7/14,USD,private,paid event,20,NULL,NULL
41897965,285005805,1/27/14,1/27/14,7/10/14,GBP,private,paid event,1210,NULL,GB
42508315,287823055,2/3/14,2/3/14,2/23/14,CAD,public,paid event,100,NULL,CA
42936835,340571075,10/2/13,5/8/14,8/5/14,USD,public,free event,262,Other,US
43080965,375763265,10/3/13,1/3/17,1/24/17,CAD,private,free event,200,NULL,CA
43182445,197063780,10/4/13,6/27/14,8/10/15,USD,public,paid event,8,Health & Wellness,US
43420645,175393680,10/8/13,3/21/14,6/25/14,GBP,public,free event,16,NULL,GB
43448915,318798935,10/8/13,3/14/14,4/10/14,GBP,public,free event,44,Community & Culture,GB
43452185,378528155,10/8/13,3/13/14,3/25/14,USD,public,free event,40,Performing & Visual Arts,NULL
44152625,62580185,10/24/13,2/16/14,2/21/14,CAD,private,free event,47,NULL,CA
44207935,255978470,10/16/13,3/12/14,4/17/14,USD,public,free event,400,NULL,NULL
44841255,288438685,1/23/14,7/1/16,8/5/16,USD,public,free event,6000,Performing & Visual Arts,US
45454195,291375735,10/31/13,2/1/14,4/8/14,USD,public,free event,5,Charity & Causes,US
45669395,94760995,11/4/13,2/11/14,3/6/14,CAD,public,free event,55,NULL,CA
45940165,141706415,11/6/13,5/26/14,6/11/14,USD,public,paid event,20,Community & Culture,US
46376995,366677615,1/2/14,1/7/14,1/23/14,USD,public,paid event,505,NULL,US
46880705,289567605,11/18/13,2/16/14,4/11/14,USD,public,paid event,60,Business & Professional,US
47150555,43926565,11/21/13,5/30/14,7/9/14,USD,public,free event,170,NULL,GB
47877825,99811310,1/13/14,1/14/14,1/28/14,USD,private,free event,200,NULL,US
47930705,264539500,12/2/13,1/31/14,3/8/14,USD,public,paid event,715,Business & Professional,US
48074605,233667635,12/3/13,5/29/14,6/14/14,AUD,public,free event,100,Business & Professional,AU
48603215,414554385,12/13/13,8/22/14,8/30/14,USD,public,free event,1250,Other,NULL
48958045,286163695,1/4/14,5/13/14,5/30/14,USD,private,paid event,150,NULL,US
49036890,378724675,12/15/13,4/23/14,5/14/14,USD,private,paid event,1,NULL,NULL
49211490,417783150,1/10/14,1/10/14,1/25/14,GBP,public,free event,150,Music,GB
49713745,46572355,1/13/14,1/17/14,2/14/14,USD,public,paid event,106,Film & Media & Entertainment,US
49812345,176711280,1/1/14,1/1/14,1/3/14,EUR,public,paid event,5,Travel & Outdoor,BE
49815955,421598385,1/1/14,1/1/14,1/25/14,USD,private,free event,200,NULL,US
49864845,65989745,1/2/14,1/2/14,1/15/14,USD,public,free event,40,NULL,US
49898305,143914485,1/2/14,1/4/15,1/15/15,USD,public,free event,1000,Science & Technology,US
49900435,314305325,1/2/14,1/2/14,2/5/14,USD,public,free event,51,Sports & Fitness,US
49933075,393675265,1/3/14,1/3/14,2/18/14,USD,private,free event,140,NULL,GB
49953175,152452315,1/3/14,1/7/14,1/27/14,USD,private,free event,200,NULL,US
49968625,343551745,1/3/14,1/3/14,1/29/14,USD,public,paid event,26,Food & Drink,US
49977795,422359865,1/3/14,1/3/14,2/14/14,GBP,public,free event,15,NULL,NULL
49980315,269424980,1/3/14,4/3/14,4/12/14,USD,public,free event,100,Music,US
50018635,19262675,1/5/14,1/6/14,4/11/14,AUD,public,paid event,550,NULL,AU
50041425,357190,1/5/14,1/5/14,1/23/14,GBP,public,paid event,163,NULL,GB
50063415,137255855,1/6/14,1/6/14,1/23/14,EUR,public,free event,15,NULL,GB
50080505,228864095,1/6/14,1/6/14,2/4/14,USD,private,free event,20,NULL,US
50098165,54771105,1/9/14,1/9/14,2/20/14,USD,public,paid event,25,NULL,US
