organizer_id,signup_country,signup_date,first_event_create_date,first_publish_date,first_paid_publish_date,total_events_published,first_event_category,first_event_country,lifetime_revenue,lifetime_tickets
9675,USA,2002-08-29,2002-08-29,2008-12-25,2008-12-25,304,,US,90324.44,476
13975,USA,2003-01-15,2003-01-15,2011-02-11,2011-02-11,65,,US,113620.89,6654
34410,USA,2004-11-02,2004-11-02,2008-10-17,2008-10-17,132,,US,826243.86,4376
35220,USA,2004-12-10,2004-12-10,2009-01-13,2009-01-13,89,,US,244857.34,4005
38285,USA,2005-04-11,2005-04-11,2008-09-22,2008-09-24,2158,,,1441678.33,68379
39700,USA,2005-06-14,2005-06-14,2008-09-18,2008-09-18,717,,US,117305.45,2202
41250,USA,2005-08-30,2005-08-30,2008-11-14,2013-09-09,117,,US,1300.0,16849
49445,USA,2006-01-07,2006-01-07,2008-09-28,2008-09-28,168,,US,27738.2,1514
69180,USA,2006-04-03,2006-04-03,2008-12-01,2008-12-01,373,Other,US,278647.74,12046
99705,USA,2006-08-23,2006-08-23,2009-03-09,2009-03-09,359,,NL,1361367.69,2251
99975,USA,2006-08-10,2006-08-10,2008-09-25,2008-12-16,98,,US,151162.1,2710
100615,USA,2006-08-14,2006-08-14,2008-09-30,2008-09-30,814,,US,466295.14,49057
103210,USA,2006-08-28,2006-08-28,2011-11-09,2011-11-09,176,,US,251.0,14
130540,USA,2006-12-19,2006-12-19,2009-01-26,2009-01-26,308,,US,187137.54,15329
134125,USA,2007-01-06,2007-01-06,2014-05-12,2014-05-12,30,Charity & Causes,US,0.0,185
134750,USA,2007-01-09,2007-01-09,2008-09-30,2008-10-10,549,,US,741408.17,21837
142545,USA,2007-02-05,2011-02-16,2011-02-16,2011-02-16,4776,,US,1771415.35,38668
146780,USA,2007-02-16,2007-02-16,2008-10-21,2011-02-06,620,,US,0.0,12199
161640,USA,2007-03-29,2007-04-09,2008-09-21,2008-09-21,129,Film & Media & Entertainment,US,14172.0,225
163130,USA,2007-04-02,2007-04-02,2009-01-07,2009-01-07,178,,US,513605.6,11759
173360,UK,2007-05-04,2007-05-04,2008-11-05,2008-11-05,161,,GB,96467.02,3282
181375,USA,2007-06-04,2007-06-04,2009-02-09,2009-02-09,422,,US,193448.89,4003
192915,USA,2007-07-12,2007-07-12,2008-10-24,2008-10-24,65,,US,267821.33,554
193645,USA,2007-07-15,2007-07-15,2008-09-30,2008-09-30,821,,US,189005.83,5137
237055,USA,2007-08-22,2007-08-22,2008-09-21,2008-09-21,327,,US,2297417.0,41372
289960,USA,2007-09-03,2007-09-03,2009-03-28,2011-01-11,1521,Performing & Visual Arts,US,274519.14,10997
298795,USA,2007-09-23,2007-09-23,2009-05-09,2009-12-05,81,,US,79.01,196
